regime,theme,theme_name,count,pct,ASR
전체,T1,사죄·반성,16,2.6,
전체,T2,용서,9,1.5,
전체,T3,화해·통합,82,13.4,
전체,T4,정의·진상규명,67,10.9,
전체,T5,치유·회복,47,7.7,
전체,T6,기억·계승,261,42.6,
전체,T7,역사의식,130,21.2,
진보,T1,사죄·반성,16,3.3,2.14
진보,T2,용서,7,1.5,-0.04
진보,T3,화해·통합,57,11.9,-2.07
진보,T4,정의·진상규명,66,13.8,4.26
진보,T5,치유·회복,31,6.5,-2.13
진보,T6,기억·계승,187,39.0,-3.42
진보,T7,역사의식,115,24.0,3.18
보수,T1,사죄·반성,0,0.0,-2.14
보수,T2,용서,2,1.5,0.04
보수,T3,화해·통합,25,18.8,2.07
보수,T4,정의·진상규명,1,0.8,-4.26
보수,T5,치유·회복,16,12.0,2.13
보수,T6,기억·계승,74,55.6,3.42
보수,T7,역사의식,15,11.3,-3.18
