primary_theme,primary_name,adjacent_theme,adjacent_name,total,total_pct,lib_count,lib_pct,con_count,con_pct
T1,사죄·반성,T1,사죄·반성,7,43.8,7,43.8,0,0.0
T1,사죄·반성,T3,화해·통합,6,37.5,6,37.5,0,0.0
T1,사죄·반성,T6,기억·계승,4,25.0,4,25.0,0,0.0
T1,사죄·반성,T4,정의·진상규명,4,25.0,4,25.0,0,0.0
T1,사죄·반성,T2,용서,3,18.8,3,18.8,0,0.0
T1,사죄·반성,T5,치유·회복,1,6.2,1,6.2,0,0.0
T2,용서,T3,화해·통합,4,44.4,2,28.6,2,100.0
T2,용서,T5,치유·회복,4,44.4,4,57.1,0,0.0
T2,용서,T7,역사의식,2,22.2,1,14.3,1,50.0
T2,용서,T1,사죄·반성,2,22.2,2,28.6,0,0.0
T2,용서,T4,정의·진상규명,2,22.2,2,28.6,0,0.0
T3,화해·통합,T6,기억·계승,50,61.0,28,49.1,22,88.0
T3,화해·통합,T3,화해·통합,44,53.7,36,63.2,8,32.0
T3,화해·통합,T7,역사의식,15,18.3,11,19.3,4,16.0
T3,화해·통합,T1,사죄·반성,7,8.5,7,12.3,0,0.0
T3,화해·통합,T5,치유·회복,7,8.5,4,7.0,3,12.0
T3,화해·통합,T2,용서,5,6.1,2,3.5,3,12.0
T3,화해·통합,T4,정의·진상규명,5,6.1,5,8.8,0,0.0
T4,정의·진상규명,T4,정의·진상규명,49,73.1,49,74.2,0,0.0
T4,정의·진상규명,T6,기억·계승,19,28.4,18,27.3,1,100.0
T4,정의·진상규명,T7,역사의식,15,22.4,15,22.7,0,0.0
T4,정의·진상규명,T5,치유·회복,9,13.4,9,13.6,0,0.0
T4,정의·진상규명,T1,사죄·반성,6,9.0,6,9.1,0,0.0
T4,정의·진상규명,T3,화해·통합,6,9.0,6,9.1,0,0.0
T4,정의·진상규명,T2,용서,2,3.0,2,3.0,0,0.0
T5,치유·회복,T6,기억·계승,27,57.4,15,48.4,12,75.0
T5,치유·회복,T5,치유·회복,21,44.7,13,41.9,8,50.0
T5,치유·회복,T7,역사의식,9,19.1,6,19.4,3,18.8
T5,치유·회복,T4,정의·진상규명,8,17.0,8,25.8,0,0.0
T5,치유·회복,T3,화해·통합,6,12.8,3,9.7,3,18.8
T5,치유·회복,T2,용서,4,8.5,4,12.9,0,0.0
T5,치유·회복,T1,사죄·반성,1,2.1,1,3.2,0,0.0
T6,기억·계승,T6,기억·계승,207,79.3,153,81.8,54,73.0
T6,기억·계승,T7,역사의식,59,22.6,46,24.6,13,17.6
T6,기억·계승,T3,화해·통합,53,20.3,28,15.0,25,33.8
T6,기억·계승,T5,치유·회복,30,11.5,15,8.0,15,20.3
T6,기억·계승,T4,정의·진상규명,23,8.8,21,11.2,2,2.7
T6,기억·계승,T1,사죄·반성,5,1.9,5,2.7,0,0.0
T7,역사의식,T7,역사의식,98,75.4,92,80.0,6,40.0
T7,역사의식,T6,기억·계승,55,42.3,45,39.1,10,66.7
T7,역사의식,T3,화해·통합,14,10.8,11,9.6,3,20.0
T7,역사의식,T4,정의·진상규명,13,10.0,13,11.3,0,0.0
T7,역사의식,T5,치유·회복,9,6.9,6,5.2,3,20.0
T7,역사의식,T2,용서,2,1.5,1,0.9,1,6.7
