primary_theme,primary_name,secondary_theme,secondary_name,total,total_pct,lib_count,lib_pct,con_count,con_pct
T1,사죄·반성,T4,정의·진상규명,5,31.2,5,31.2,0,0.0
T1,사죄·반성,T2,용서,3,18.8,3,18.8,0,0.0
T1,사죄·반성,T5,치유·회복,2,12.5,2,12.5,0,0.0
T1,사죄·반성,T3,화해·통합,2,12.5,2,12.5,0,0.0
T1,사죄·반성,T7,역사의식,1,6.2,1,6.2,0,0.0
T2,용서,T3,화해·통합,7,77.8,5,71.4,2,100.0
T2,용서,T4,정의·진상규명,2,22.2,2,28.6,0,0.0
T2,용서,T6,기억·계승,1,11.1,0,0.0,1,50.0
T2,용서,T1,사죄·반성,1,11.1,1,14.3,0,0.0
T2,용서,T5,치유·회복,1,11.1,1,14.3,0,0.0
T3,화해·통합,T6,기억·계승,20,24.4,10,17.5,10,40.0
T3,화해·통합,T4,정의·진상규명,11,13.4,10,17.5,1,4.0
T3,화해·통합,T2,용서,9,11.0,6,10.5,3,12.0
T3,화해·통합,T5,치유·회복,8,9.8,7,12.3,1,4.0
T3,화해·통합,T7,역사의식,6,7.3,4,7.0,2,8.0
T3,화해·통합,T1,사죄·반성,1,1.2,1,1.8,0,0.0
T4,정의·진상규명,T6,기억·계승,7,10.4,7,10.6,0,0.0
T4,정의·진상규명,T7,역사의식,7,10.4,6,9.1,1,100.0
T4,정의·진상규명,T5,치유·회복,2,3.0,2,3.0,0,0.0
T4,정의·진상규명,T1,사죄·반성,2,3.0,2,3.0,0,0.0
T4,정의·진상규명,T3,화해·통합,1,1.5,1,1.5,0,0.0
T5,치유·회복,T6,기억·계승,10,21.3,6,19.4,4,25.0
T5,치유·회복,T4,정의·진상규명,5,10.6,5,16.1,0,0.0
T5,치유·회복,T7,역사의식,4,8.5,3,9.7,1,6.2
T5,치유·회복,T3,화해·통합,2,4.3,2,6.5,0,0.0
T5,치유·회복,T1,사죄·반성,1,2.1,1,3.2,0,0.0
T6,기억·계승,T7,역사의식,68,26.1,56,29.9,12,16.2
T6,기억·계승,T5,치유·회복,20,7.7,15,8.0,5,6.8
T6,기억·계승,T3,화해·통합,20,7.7,12,6.4,8,10.8
T6,기억·계승,T4,정의·진상규명,17,6.5,15,8.0,2,2.7
T6,기억·계승,T1,사죄·반성,7,2.7,6,3.2,1,1.4
T7,역사의식,T6,기억·계승,44,33.8,36,31.3,8,53.3
T7,역사의식,T4,정의·진상규명,14,10.8,14,12.2,0,0.0
T7,역사의식,T3,화해·통합,4,3.1,3,2.6,1,6.7
T7,역사의식,T5,치유·회복,2,1.5,2,1.7,0,0.0
