analysis_type,adjacent_theme,adjacent_name,total,total_pct,lib_count,lib_pct,con_count,con_pct
공기어,T6,기억·계승,20,24.4,10,17.5,10,40.0
공기어,T4,정의·진상규명,11,13.4,10,17.5,1,4.0
공기어,T2,용서,9,11.0,6,10.5,3,12.0
공기어,T5,치유·회복,8,9.8,7,12.3,1,4.0
공기어,T7,역사의식,6,7.3,4,7.0,2,8.0
공기어,T1,사죄·반성,1,1.2,1,1.8,0,0.0
인접성,T6,기억·계승,50,61.0,28,49.1,22,88.0
인접성,T3,화해·통합,44,53.7,36,63.2,8,32.0
인접성,T7,역사의식,15,18.3,11,19.3,4,16.0
인접성,T1,사죄·반성,7,8.5,7,12.3,0,0.0
인접성,T5,치유·회복,7,8.5,4,7.0,3,12.0
인접성,T2,용서,5,6.1,2,3.5,3,12.0
인접성,T4,정의·진상규명,5,6.1,5,8.8,0,0.0
