group,tense,count,pct,n
THEME_전체,과거,190,31.0,612
THEME_전체,현재,248,40.5,612
THEME_전체,미래,174,28.4,612
THEME_진보,과거,165,34.4,479
THEME_진보,현재,185,38.6,479
THEME_진보,미래,129,26.9,479
THEME_보수,과거,25,18.8,133
THEME_보수,현재,63,47.4,133
THEME_보수,미래,45,33.8,133
THEME-POLICY_전체,과거,5,7.6,66
THEME-POLICY_전체,현재,21,31.8,66
THEME-POLICY_전체,미래,40,60.6,66
THEME-POLICY_진보,과거,5,8.9,56
THEME-POLICY_진보,현재,19,33.9,56
THEME-POLICY_진보,미래,32,57.1,56
THEME-POLICY_보수,과거,0,0.0,10
THEME-POLICY_보수,현재,2,20.0,10
THEME-POLICY_보수,미래,8,80.0,10
